glacier0020_iter02_06,not_found
glacier0020_iter02_07,not_found
glacier0020_iter02_08,not_found
glacier0020_iter02_09,not_found
glacier0020_iter02_10,not_found
glacier0020_iter03_01,not_found
glacier0020_iter03_02,not_found
glacier0020_iter03_03,not_found
glacier0020_iter03_04,not_found
glacier0020_iter03_05,not_found
glacier0020_iter03_06,not_found
glacier0020_iter03_07,not_found
glacier0020_iter03_08,not_found
glacier0020_iter03_09,not_found
glacier0020_iter03_10,not_found
glacier0021_iter01_01,   633694.7
glacier0021_iter01_02,   633237.2
glacier0021_iter01_03,   632829.7
glacier0021_iter01_04,   632424.5
glacier0021_iter01_05,   631770.9
glacier0021_iter01_06,   630928.9
glacier0021_iter01_07,   630766.0
glacier0021_iter01_08,   630183.3
glacier0021_iter01_09,   629569.5
glacier0021_iter01_10,   628684.1
glacier0021_iter02_01,   630681.2
glacier0021_iter02_02,   630281.3
glacier0021_iter02_03,   630124.6
glacier0021_iter02_04,   630067.4
glacier0021_iter02_05,   630247.0
glacier0021_iter02_06,   630083.4
glacier0021_iter02_07,   629979.7
glacier0021_iter02_08,   629855.8
glacier0021_iter02_09,   629749.6
glacier0021_iter02_10,   629620.8
glacier0021_iter03_01,   629914.0
glacier0021_iter03_02,   629878.4
glacier0021_iter03_03,   629843.9
glacier0021_iter03_04,   629811.7
glacier0021_iter03_05,   629782.4
glacier0021_iter03_06,   629756.8
glacier0021_iter03_07,   629736.3
glacier0021_iter03_08,   629717.8
glacier0021_iter03_09,   629702.5
glacier0021_iter03_10,   629688.0
glacier0022_iter01_01,not_found
glacier0022_iter01_02,not_found
glacier0022_iter01_03,not_found
glacier0022_iter01_04,not_found
glacier0022_iter01_05,not_found
glacier0022_iter01_06,not_found
glacier0022_iter01_07,not_found
glacier0022_iter01_08,not_found
glacier0022_iter01_09,not_found
glacier0022_iter01_10,not_found
glacier0022_iter02_01,not_found
glacier0022_iter02_02,not_found
glacier0022_iter02_03,not_found
glacier0022_iter02_04,not_found
glacier0022_iter02_05,not_found
glacier0022_iter02_06,not_found
glacier0022_iter02_07,not_found
glacier0022_iter02_08,not_found
glacier0022_iter02_09,not_found
glacier0022_iter02_10,not_found
glacier0022_iter03_01,not_found
glacier0022_iter03_02,not_found
glacier0022_iter03_03,not_found
glacier0022_iter03_04,not_found
glacier0022_iter03_05,not_found
glacier0022_iter03_06,not_found
glacier0022_iter03_07,not_found
glacier0022_iter03_08,not_found
glacier0022_iter03_09,not_found
glacier0022_iter03_10,not_found
glacier0023_iter01_01,not_found
glacier0023_iter01_02,not_found
glacier0023_iter01_03,not_found
glacier0023_iter01_04,not_found
glacier0023_iter01_05,not_found
glacier0023_iter01_06,not_found
glacier0023_iter01_07,not_found
glacier0023_iter01_08,not_found
glacier0023_iter01_09,not_found
glacier0023_iter01_10,not_found
glacier0023_iter02_01,not_found
glacier0023_iter02_02,not_found
glacier0023_iter02_03,not_found
glacier0023_iter02_04,not_found
glacier0023_iter02_05,not_found
glacier0023_iter02_06,not_found
glacier0023_iter02_07,not_found
glacier0023_iter02_08,not_found
glacier0023_iter02_09,not_found
glacier0023_iter02_10,not_found
glacier0023_iter03_01,not_found
glacier0023_iter03_02,not_found
glacier0023_iter03_03,not_found
glacier0023_iter03_04,not_found
glacier0023_iter03_05,not_found
glacier0023_iter03_06,not_found
glacier0023_iter03_07,not_found
glacier0023_iter03_08,not_found
glacier0023_iter03_09,not_found
glacier0023_iter03_10,not_found
glacier0024_iter01_01,not_found
glacier0024_iter01_02,not_found
glacier0024_iter01_03,not_found
glacier0024_iter01_04,not_found
glacier0024_iter01_05,not_found
glacier0024_iter01_06,not_found
glacier0024_iter01_07,not_found
glacier0024_iter01_08,not_found
glacier0024_iter01_09,not_found
glacier0024_iter01_10,not_found
glacier0024_iter02_01,not_found
glacier0024_iter02_02,not_found
glacier0024_iter02_03,not_found
glacier0024_iter02_04,not_found
glacier0024_iter02_05,not_found
glacier0024_iter02_06,not_found
glacier0024_iter02_07,not_found
glacier0024_iter02_08,not_found
glacier0024_iter02_09,not_found
glacier0024_iter02_10,not_found
glacier0024_iter03_01,not_found
glacier0024_iter03_02,not_found
glacier0024_iter03_03,not_found
glacier0024_iter03_04,not_found
glacier0024_iter03_05,not_found
glacier0024_iter03_06,not_found
glacier0024_iter03_07,not_found
glacier0024_iter03_08,not_found
glacier0024_iter03_09,not_found
glacier0024_iter03_10,not_found
glacier0025_iter01_01,not_found
glacier0025_iter01_02,not_found
glacier0025_iter01_03,not_found
glacier0025_iter01_04,not_found
glacier0025_iter01_05,not_found
glacier0025_iter01_06,not_found
glacier0025_iter01_07,not_found
glacier0025_iter01_08,not_found
glacier0025_iter01_09,not_found
glacier0025_iter01_10,not_found
glacier0025_iter02_01,not_found
glacier0025_iter02_02,not_found
glacier0025_iter02_03,not_found
glacier0025_iter02_04,not_found
glacier0025_iter02_05,not_found
glacier0025_iter02_06,not_found
glacier0025_iter02_07,not_found
glacier0025_iter02_08,not_found
glacier0025_iter02_09,not_found
glacier0025_iter02_10,not_found
glacier0025_iter03_01,not_found
glacier0025_iter03_02,not_found
glacier0025_iter03_03,not_found
glacier0025_iter03_04,not_found
glacier0025_iter03_05,not_found
glacier0025_iter03_06,not_found
glacier0025_iter03_07,not_found
glacier0025_iter03_08,not_found
glacier0025_iter03_09,not_found
glacier0025_iter03_10,not_found
glacier0026_iter01_01,not_found
glacier0026_iter01_02,not_found
glacier0026_iter01_03,not_found
glacier0026_iter01_04,not_found
glacier0026_iter01_05,not_found
glacier0026_iter01_06,not_found
glacier0026_iter01_07,not_found
glacier0026_iter01_08,not_found
glacier0026_iter01_09,not_found
glacier0026_iter01_10,not_found
glacier0026_iter02_01,not_found
glacier0026_iter02_02,not_found
glacier0026_iter02_03,not_found
glacier0026_iter02_04,not_found
glacier0026_iter02_05,not_found
glacier0026_iter02_06,not_found
glacier0026_iter02_07,not_found
glacier0026_iter02_08,not_found
glacier0026_iter02_09,not_found
glacier0026_iter02_10,not_found
glacier0026_iter03_01,not_found
glacier0026_iter03_02,not_found
glacier0026_iter03_03,not_found
glacier0026_iter03_04,not_found
glacier0026_iter03_05,not_found
glacier0026_iter03_06,not_found
glacier0026_iter03_07,not_found
glacier0026_iter03_08,not_found
glacier0026_iter03_09,not_found
glacier0026_iter03_10,not_found
glacier0027_iter01_01,not_found
glacier0027_iter01_02,not_found
glacier0027_iter01_03,not_found
glacier0027_iter01_04,not_found
glacier0027_iter01_05,not_found
